四字熟語,読み方,Значение,注意点
一石二鳥,いっせきにちょう,Одним действием получить несколько результатов,
一生懸命,いっしょうけんめい,Изо всех сил,
支離滅裂,しりめつれつ,Действовать без логики、без порядка.,
絶体絶命,ぜったいぜつめい,Бежать более некуда.,
千載一遇,せんざいいちぐう,Шанс один из тысячи.,
前代未聞,ぜんだいみもん,Никогда ранее не слышанная редкость. Что-то очень редкое.,
大器晩成,たいきばんせい,Со временем、даже если не умел станешь хорош.,
大胆不敵,だいたんふてき,Храбрый без врагов. Атакующий неожиданно.,
大同小異,だいどうしょうい,Небольшие отличия есть、но в целом одно и тоже.,
単刀直入,たんとうちょくにゅう,Сказать прямо не пытаясь смягчить.,
適材適所,てきざいてきしょ,Давать задание человеку соответствующее его способностям、возможностям、талантам.,
二束三文,にそくさんもん,Вещей много、а цена маленькая.,
馬耳東風,ばじとうふう,Не важно что человек говорит. Вообще не обращать внимания.,
半信半疑,はんしんはんぎ,На половину верю、на половину не верю.,
不言実行,ふげんじっこう,Делать что-то хорошее не афишируя это; не хвастаясь.,
付和雷同,ふわらいどう,Сразу же согласиться с тем что говорит другой человек.,
傍若無人,ぼうじゃくぶじん,Делать что-то совершенно не обращая внимания на других.,
有名無実,ゆうめいむじつ,Выкрикивать лозунги но не исполнять.,
臨機応変,りんきおうへん,Действовать в соответствии с местом и временем.,
一部始終,いちぶしじゅう,От начала до конца.,
一喜一憂,いっきいちゆう,Болеть за команду. Радоваться и переживать.,
一進一退,いっしんいったい,Лучше и хуже,
一心不乱,いっしんふらん,Сосредоточиться на чем-то и не обращать ни на что другое внимания.,
一朝一夕,いっちょういっせき,За день. За небольшой промежуток времени.,
一長一短,いっちょういったん,Есть плюсы и минусы.,
右往左往,うおうさおう,Ходить туда-сюда не зная что делать.,
完全無欠,かんぜんむけつ,Нет никаких недостатков.,
危機一髪,ききいっぱつ,За мгновение до опасности.,
喜怒哀楽,きどあいらく,Разные чувства такие как радость、грусть、зависть、веселье.,
再三再四,さいさんさいし,Повторять одно и тоже.,
縦横無尽,じゅうおうむじん,Очень тяжело. Совсем не продвигается.,
十人十色,じゅうにんといろ,У всех все отличается.,
取捨選択,しゅしゃせんたく,Из множества выбрать то что нужно.,
心機一転,しんきいってん,Переключить мозги в нужную сторону,
針小棒大,しんしょうぼうだい,Преувеличивать,
晴耕雨読,せいこううどく,Жить как хочется.,
正正堂堂,せいせいどうどう,Поступать как хорошо. Поступать как надо.,
千差万別,せんさばんべつ,Среди вещей все отличается.,
創意工夫,そういくふう,Придумать новый метод、способ.,
東奔西走,とうほんせいそう,Метаться туда-сюда.,
二者択一,にしゃたくいつ,Думать что выбрать из двух вариантов.,
日進月歩,にっしんげっぽ,Что-то становится лучше.,
百発百中,ひゃっぱつひゃくちゅう,Успех во всем что только просходит.,
無我夢中,むがむちゅう,Сосредоточиться на чем-то не обращая ни на что другое внимания.,
油断大敵,ゆだんたいてき,Расслабиться думая что все под контролем、но это не так и получить проблемы.,
用意周到,よういしゅうとう,Полностью подготовиться к чему-то.,
老若男女,ろうにゃくなんにょ,Все. Старики、мужчины、взрослые、молодые、женщины.,
異口同音,いくどうおん,Много человек говорит одно и тоже.,
以心伝心,いしんでんしん,Без слов передать другому чувства словно телепатией.,
一日千秋,いちじつせんしゅう,Очень сильно ожидать чего-то. Один день словно тысяча лет.,年→秋
一刀両断,いっとうりょうだん,Решить что-то приняв твердое решение.,
意味深長,いみしんちょう,Из-за какой-то скрытой причины текущее поведение отличается от обычного.,
起死回生,きしかいせい,Вернуться из плохой ситуации.,
空前絶後,くうぜんぜつご,Кажется что это что-то такое、что случилось в первый и последний раз.,
五里霧中,ごりむちゅう,Сомневаться; Иметь трудность с выбором.,
言語道断,ごんごどうだん,Настолько плохая ситуация、что не выразить словами.,
自画自賛,じがじさん,Хвалить себя за то что сам и сделал.,
自業自得,じごうじとく,Сам виноват в т ом что случилось; произошло.,
七転八倒,しちてんばっとう,Больно、тяжело настолько、что не усидеть.,しってんばっとう
四方八方,しほうはっぽう,Отовсюду.,
弱肉強食,じゃくにくきょうしょく,Сильный процветает за счет слабого.,